company_name,date,number_of_evidence,evidence_no,final_snippet_score
CHD,2023-02-16,11,9,5
CHD,2023-02-16,11,10,5
CHD,2023-02-16,11,11,8
CHD,2024-02-15,4,1,5
CHD,2024-02-15,4,2,4
CHD,2024-02-15,4,3,3
CHD,2024-02-15,4,4,3
CHRW,2021-02-19,12,1,8
CHRW,2021-02-19,12,2,5
CHRW,2021-02-19,12,3,4
CHRW,2021-02-19,12,4,5
CHRW,2021-02-19,12,5,6
CHRW,2021-02-19,12,6,7
CHRW,2021-02-19,12,7,4
CHRW,2021-02-19,12,8,7
CHRW,2021-02-19,12,9,2
CHRW,2021-02-19,12,10,4
CHRW,2021-02-19,12,11,5
CHRW,2021-02-19,12,12,5
CHRW,2022-02-23,13,1,7
CHRW,2022-02-23,13,2,4
CHRW,2022-02-23,13,3,6
CHRW,2022-02-23,13,4,3
CHRW,2022-02-23,13,5,5
CHRW,2022-02-23,13,6,3
CHRW,2022-02-23,13,7,6
CHRW,2022-02-23,13,8,7
CHRW,2022-02-23,13,9,4
CHRW,2022-02-23,13,10,3
CHRW,2022-02-23,13,11,2
CHRW,2022-02-23,13,12,1
CHRW,2022-02-23,13,13,2
CHRW,2023-02-17,6,1,1
CHRW,2023-02-17,6,2,7
CHRW,2023-02-17,6,3,8
CHRW,2023-02-17,6,4,4
CHRW,2023-02-17,6,5,5
CHRW,2023-02-17,6,6,1
CHRW,2024-02-16,2,1,2
CHRW,2024-02-16,2,2,1
CHTR,2021-01-29,20,1,6
CHTR,2021-01-29,20,2,3
CHTR,2021-01-29,20,3,4
CHTR,2021-01-29,20,4,4
CHTR,2021-01-29,20,5,6
CHTR,2021-01-29,20,6,3
CHTR,2021-01-29,20,7,2
CHTR,2021-01-29,20,8,6
CHTR,2021-01-29,20,9,3
CHTR,2021-01-29,20,10,4
CHTR,2021-01-29,20,11,6
CHTR,2021-01-29,20,12,8
CHTR,2021-01-29,20,13,7
CHTR,2021-01-29,20,14,7
CHTR,2021-01-29,20,15,4
CHTR,2021-01-29,20,16,-3
CHTR,2021-01-29,20,17,3
CHTR,2021-01-29,20,18,3
CHTR,2021-01-29,20,19,6
CHTR,2021-01-29,20,20,2
CHTR,2022-01-28,12,1,6
CHTR,2022-01-28,12,2,4
CHTR,2022-01-28,12,3,5
CHTR,2022-01-28,12,4,2
CHTR,2022-01-28,12,5,3
CHTR,2022-01-28,12,6,-1
CHTR,2022-01-28,12,7,6
CHTR,2022-01-28,12,8,2
CHTR,2022-01-28,12,9,1
CHTR,2022-01-28,12,10,4
CHTR,2022-01-28,12,11,4
CHTR,2022-01-28,12,12,0
CHTR,2023-01-27,2,1,6
CHTR,2023-01-27,2,2,1
CINF,2021-02-25,9,1,9
CINF,2021-02-25,9,2,8
CINF,2021-02-25,9,3,9
CINF,2021-02-25,9,4,6
CINF,2021-02-25,9,5,5
CINF,2021-02-25,9,6,5
CINF,2021-02-25,9,7,4
CINF,2021-02-25,9,8,5
CINF,2021-02-25,9,9,0
CINF,2022-02-24,13,1,5
CINF,2022-02-24,13,2,7
CINF,2022-02-24,13,3,6
CINF,2022-02-24,13,4,6
CINF,2022-02-24,13,5,7
CINF,2022-02-24,13,6,5
CINF,2022-02-24,13,7,6
CINF,2022-02-24,13,8,2
CINF,2022-02-24,13,9,5
CINF,2022-02-24,13,10,0
CINF,2022-02-24,13,11,-1
CINF,2022-02-24,13,12,4
CINF,2022-02-24,13,13,3
CINF,2023-02-23,14,1,6
CINF,2023-02-23,14,2,7
CINF,2023-02-23,14,3,6
CINF,2023-02-23,14,4,6
CINF,2023-02-23,14,5,4
CINF,2023-02-23,14,6,1
CINF,2023-02-23,14,7,5
CINF,2023-02-23,14,8,3
CINF,2023-02-23,14,9,-4
CINF,2023-02-23,14,10,1
CINF,2023-02-23,14,11,4
CINF,2023-02-23,14,12,2
CINF,2023-02-23,14,13,3
CINF,2023-02-23,14,14,3
CI,2021-02-25,9,1,8
CI,2021-02-25,9,2,7
CI,2021-02-25,9,3,5
CI,2021-02-25,9,4,6
CI,2021-02-25,9,5,4
CI,2021-02-25,9,6,6
CI,2021-02-25,9,7,5
CI,2021-02-25,9,8,6
CI,2021-02-25,9,9,5
CI,2022-02-24,10,1,8
CI,2022-02-24,10,2,6
CI,2022-02-24,10,3,5
CI,2022-02-24,10,4,5
CI,2022-02-24,10,5,5
CI,2022-02-24,10,6,6
CI,2022-02-24,10,7,3
CI,2022-02-24,10,8,5
CI,2022-02-24,10,9,6
CI,2022-02-24,10,10,6
CI,2023-02-23,8,1,9
CI,2023-02-23,8,2,7
CI,2023-02-23,8,3,3
CI,2023-02-23,8,4,5
CI,2023-02-23,8,5,6
CI,2023-02-23,8,6,5
CI,2023-02-23,8,7,3
CI,2023-02-23,8,8,3
CI,2024-02-29,3,1,3
CI,2024-02-29,3,2,1
CI,2024-02-29,3,3,3
CLX,2023-08-10,6,1,6
CLX,2023-08-10,6,2,7
CLX,2023-08-10,6,3,4
CLX,2023-08-10,6,4,4
CLX,2023-08-10,6,5,3
CLX,2023-08-10,6,6,2
CLX,2024-08-08,9,1,6
CLX,2024-08-08,9,2,5
CLX,2024-08-08,9,3,5
CLX,2024-08-08,9,4,4
CLX,2024-08-08,9,5,6
CLX,2024-08-08,9,6,4
CLX,2024-08-08,9,7,3
CLX,2024-08-08,9,8,2
CLX,2024-08-08,9,9,3
CL,2021-02-18,32,1,5
CL,2021-02-18,32,2,8
CL,2021-02-18,32,3,6
CL,2021-02-18,32,4,5
CL,2021-02-18,32,5,9
CL,2021-02-18,32,6,6
CL,2021-02-18,32,7,7
CL,2021-02-18,32,8,3
CL,2021-02-18,32,9,3
CL,2021-02-18,32,10,3
CL,2021-02-18,32,11,8
CL,2021-02-18,32,12,-2
CL,2021-02-18,32,13,3
CL,2021-02-18,32,14,2
CL,2021-02-18,32,15,4
CL,2021-02-18,32,16,4
CL,2021-02-18,32,17,2
CL,2021-02-18,32,18,6
CL,2021-02-18,32,19,3
CL,2021-02-18,32,20,7
CL,2021-02-18,32,21,4
CL,2021-02-18,32,22,3
CL,2021-02-18,32,23,7
CL,2021-02-18,32,24,1
CL,2021-02-18,32,25,4
CL,2021-02-18,32,26,7
CL,2021-02-18,32,27,5
CL,2021-02-18,32,28,4
CL,2021-02-18,32,29,3
CL,2021-02-18,32,30,4
CL,2021-02-18,32,31,7
CL,2021-02-18,32,32,2
CL,2022-02-17,13,1,6
CL,2022-02-17,13,2,8
CL,2022-02-17,13,3,9
CL,2022-02-17,13,4,8
CL,2022-02-17,13,5,7
CL,2022-02-17,13,6,9
CL,2022-02-17,13,7,2
CL,2022-02-17,13,8,8
CL,2022-02-17,13,9,7
CL,2022-02-17,13,10,6
CL,2022-02-17,13,11,5
CL,2022-02-17,13,12,3
CL,2022-02-17,13,13,1
CL,2023-02-16,10,1,4
CL,2023-02-16,10,2,9
CL,2023-02-16,10,3,5
CL,2023-02-16,10,4,4
CL,2023-02-16,10,5,6
CL,2023-02-16,10,6,7
CL,2023-02-16,10,7,3
CL,2023-02-16,10,8,3
CL,2023-02-16,10,9,2
CL,2023-02-16,10,10,1
CL,2024-02-15,16,1,2
CL,2024-02-15,16,2,4
CL,2024-02-15,16,3,2
CL,2024-02-15,16,4,2
CL,2024-02-15,16,5,2
CL,2024-02-15,16,6,2
CL,2024-02-15,16,7,2
CL,2024-02-15,16,8,2
CL,2024-02-15,16,9,2
CL,2024-02-15,16,10,1
CL,2024-02-15,16,11,2
CL,2024-02-15,16,12,2
CL,2024-02-15,16,13,3
CL,2024-02-15,16,14,1
CL,2024-02-15,16,15,1
CL,2024-02-15,16,16,1
CMCSA,2021-02-04,12,1,8
CMCSA,2021-02-04,12,2,6
CMCSA,2021-02-04,12,3,5
CMCSA,2021-02-04,12,4,4
CMCSA,2021-02-04,12,5,6
CMCSA,2021-02-04,12,6,6
CMCSA,2021-02-04,12,7,5
CMCSA,2021-02-04,12,8,4
CMCSA,2021-02-04,12,9,6
CMCSA,2021-02-04,12,10,5
CMCSA,2021-02-04,12,11,5
CMCSA,2021-02-04,12,12,2
CMCSA,2022-02-02,10,1,7
CMCSA,2022-02-02,10,2,7
CMCSA,2022-02-02,10,3,5
CMCSA,2022-02-02,10,4,5
CMCSA,2022-02-02,10,5,3
CMCSA,2022-02-02,10,6,3
CMCSA,2022-02-02,10,7,3
CMCSA,2022-02-02,10,8,3
CMCSA,2022-02-02,10,9,3
CMCSA,2022-02-02,10,10,4
CMCSA,2023-02-03,9,1,5
CMCSA,2023-02-03,9,2,5
CMCSA,2023-02-03,9,3,7
CMCSA,2023-02-03,9,4,7
CMCSA,2023-02-03,9,5,5
CMCSA,2023-02-03,9,6,5
CMCSA,2023-02-03,9,7,6
CMCSA,2023-02-03,9,8,0
CMCSA,2023-02-03,9,9,5
CMCSA,2024-01-31,4,1,4
CMCSA,2024-01-31,4,2,3
CMCSA,2024-01-31,4,3,5
CMCSA,2024-01-31,4,4,3
CME,2021-02-26,18,1,8
CME,2021-02-26,18,2,4
CME,2021-02-26,18,3,3
CME,2021-02-26,18,4,5
CME,2021-02-26,18,5,3
CME,2021-02-26,18,6,3
CME,2021-02-26,18,7,5
CME,2021-02-26,18,8,6
CME,2021-02-26,18,9,4
CME,2021-02-26,18,10,6
CME,2021-02-26,18,11,4
CME,2021-02-26,18,12,4
CME,2021-02-26,18,13,5
CME,2021-02-26,18,14,2
CME,2021-02-26,18,15,2
CME,2021-02-26,18,16,2
CME,2021-02-26,18,17,3
CME,2021-02-26,18,18,2
CME,2022-02-25,24,1,1
CME,2022-02-25,24,2,8
CME,2022-02-25,24,3,5
CME,2022-02-25,24,4,4
CME,2022-02-25,24,5,9
CME,2022-02-25,24,6,4
CME,2022-02-25,24,7,3
CME,2022-02-25,24,8,5
CME,2022-02-25,24,9,4
CME,2022-02-25,24,10,4
CME,2022-02-25,24,11,6
CME,2022-02-25,24,12,4
CME,2022-02-25,24,13,4
CME,2022-02-25,24,14,3
CME,2022-02-25,24,15,4
CME,2022-02-25,24,16,3
CME,2022-02-25,24,17,6
CME,2022-02-25,24,18,3
CME,2022-02-25,24,19,3
CME,2022-02-25,24,20,5
CME,2022-02-25,24,21,1
CME,2022-02-25,24,22,3
CME,2022-02-25,24,23,5
CME,2022-02-25,24,24,5
CME,2023-02-27,18,1,7
CME,2023-02-27,18,2,4
CME,2023-02-27,18,3,4
CME,2023-02-27,18,4,7
CME,2023-02-27,18,5,4
CME,2023-02-27,18,6,4
CME,2023-02-27,18,7,2
CME,2023-02-27,18,8,3
CME,2023-02-27,18,9,3
CME,2023-02-27,18,10,4
CME,2023-02-27,18,11,3
CME,2023-02-27,18,12,3
CME,2023-02-27,18,13,4
CME,2023-02-27,18,14,4
CME,2023-02-27,18,15,3
CME,2023-02-27,18,16,3
CME,2023-02-27,18,17,1
CME,2023-02-27,18,18,2
CME,2024-02-28,1,1,3
CMG,2021-02-10,12,1,8
CMG,2021-02-10,12,2,7
CMG,2021-02-10,12,3,7
CMG,2021-02-10,12,4,7
CMG,2021-02-10,12,5,6
CMG,2021-02-10,12,6,4
CMG,2021-02-10,12,7,6
CMG,2021-02-10,12,8,4
CMG,2021-02-10,12,9,4
CMG,2021-02-10,12,10,4
CMG,2021-02-10,12,11,5
CMG,2021-02-10,12,12,1
CMG,2022-02-11,10,1,4
CMG,2022-02-11,10,2,7
CMG,2022-02-11,10,3,4
CMG,2022-02-11,10,4,5
CMG,2022-02-11,10,5,5
CMG,2022-02-11,10,6,5
CMG,2022-02-11,10,7,2
CMG,2022-02-11,10,8,6
CMG,2022-02-11,10,9,4
CMG,2022-02-11,10,10,7
CMG,2023-02-09,6,1,4
CMG,2023-02-09,6,2,6
CMG,2023-02-09,6,3,9
CMG,2023-02-09,6,4,1
CMG,2023-02-09,6,5,2
CMG,2023-02-09,6,6,1
CMG,2024-02-08,3,1,3
CMG,2024-02-08,3,2,4
CMG,2024-02-08,3,3,3
CMI,2021-02-10,13,1,8
CMI,2021-02-10,13,2,5
CMI,2021-02-10,13,3,7
CMI,2021-02-10,13,4,6
CMI,2021-02-10,13,5,8
CMI,2021-02-10,13,6,7
CMI,2021-02-10,13,7,2
CMI,2021-02-10,13,8,2
CMI,2021-02-10,13,9,5
CMI,2021-02-10,13,10,7
CMI,2021-02-10,13,11,3
CMI,2021-02-10,13,12,3
CMI,2021-02-10,13,13,5
CMI,2022-02-08,8,1,4
CMI,2022-02-08,8,2,2
CMI,2022-02-08,8,3,4
CMI,2022-02-08,8,4,5
CMI,2022-02-08,8,5,3
CMI,2022-02-08,8,6,5
CMI,2022-02-08,8,7,7
CMI,2022-02-08,8,8,3
CMI,2023-02-14,6,1,4
CMI,2023-02-14,6,2,3
CMI,2023-02-14,6,3,6
CMI,2023-02-14,6,4,1
CMI,2023-02-14,6,5,2
CMI,2023-02-14,6,6,0
CMI,2024-02-12,3,1,5
CMI,2024-02-12,3,2,4
CMI,2024-02-12,3,3,3
CMS,2021-02-11,10,1,7
CMS,2021-02-11,10,2,4
CMS,2021-02-11,10,3,6
CMS,2021-02-11,10,4,4
CMS,2021-02-11,10,5,3
CMS,2021-02-11,10,6,2
CMS,2021-02-11,10,7,1
CMS,2021-02-11,10,8,-1
CMS,2021-02-11,10,9,-2
CMS,2021-02-11,10,10,3
CMS,2022-02-10,12,1,6
CMS,2022-02-10,12,2,4
CMS,2022-02-10,12,3,4
CMS,2022-02-10,12,4,2
CMS,2022-02-10,12,5,0
CMS,2022-02-10,12,6,0
CMS,2022-02-10,12,7,2
CMS,2022-02-10,12,8,5
CMS,2022-02-10,12,9,4
CMS,2022-02-10,12,10,0
CMS,2022-02-10,12,11,0
CMS,2022-02-10,12,12,3
CMS,2023-02-09,7,1,9
CMS,2023-02-09,7,2,7
CMS,2023-02-09,7,3,6
CMS,2023-02-09,7,4,4
CMS,2023-02-09,7,5,1
CMS,2023-02-09,7,6,3
CMS,2023-02-09,7,7,3
CMS,2024-02-08,1,1,5
CNC,2021-02-22,16,1,3
CNC,2021-02-22,16,2,2
CNC,2021-02-22,16,3,3
CNC,2021-02-22,16,4,3
CNC,2021-02-22,16,5,8
CNC,2021-02-22,16,6,4
CNC,2021-02-22,16,7,4
CNC,2021-02-22,16,8,3
CNC,2021-02-22,16,9,4
CNC,2021-02-22,16,10,6
CNC,2021-02-22,16,11,4
CNC,2021-02-22,16,12,3
CNC,2021-02-22,16,13,6
CNC,2021-02-22,16,14,5
CNC,2021-02-22,16,15,6
CNC,2021-02-22,16,16,4
CNC,2022-02-22,7,1,7
CNC,2022-02-22,7,2,9
CNC,2022-02-22,7,3,5
CNC,2022-02-22,7,4,6
CNC,2022-02-22,7,5,6
CNC,2022-02-22,7,6,2
CNC,2022-02-22,7,7,5
CNC,2023-02-21,8,1,3
CNC,2023-02-21,8,2,2
CNC,2023-02-21,8,3,4
CNC,2023-02-21,8,4,3
CNC,2023-02-21,8,5,2
CNC,2023-02-21,8,6,1
CNC,2023-02-21,8,7,2
CNC,2023-02-21,8,8,4
CNC,2024-02-20,6,1,4
CNC,2024-02-20,6,2,6
CNC,2024-02-20,6,3,5
CNC,2024-02-20,6,4,5
CNC,2024-02-20,6,5,3
CNC,2024-02-20,6,6,4
CNP,2021-02-25,15,1,6
CNP,2021-02-25,15,2,7
CNP,2021-02-25,15,3,8
CNP,2021-02-25,15,4,7
CNP,2021-02-25,15,5,8
CNP,2021-02-25,15,6,8
CNP,2021-02-25,15,7,5
CNP,2021-02-25,15,8,4
CNP,2021-02-25,15,9,2
CNP,2021-02-25,15,10,4
CNP,2021-02-25,15,11,5
CNP,2021-02-25,15,12,4
CNP,2021-02-25,15,13,5
CNP,2021-02-25,15,14,8
CNP,2021-02-25,15,15,6
CNP,2022-02-22,10,1,4
CNP,2022-02-22,10,2,7
CNP,2022-02-22,10,3,5
CNP,2022-02-22,10,4,4
CNP,2022-02-22,10,5,4
CNP,2022-02-22,10,6,3
CNP,2022-02-22,10,7,3
CNP,2022-02-22,10,8,5
CNP,2022-02-22,10,9,4
CNP,2022-02-22,10,10,5
CNP,2023-02-17,5,1,6
CNP,2023-02-17,5,2,7
CNP,2023-02-17,5,3,6
CNP,2023-02-17,5,4,4
CNP,2023-02-17,5,5,2
CNP,2024-02-20,4,1,5
CNP,2024-02-20,4,2,5
CNP,2024-02-20,4,3,4
CNP,2024-02-20,4,4,3
COF,2021-02-25,19,1,6
COF,2021-02-25,19,2,6
COF,2021-02-25,19,3,6
COF,2021-02-25,19,4,5
COF,2021-02-25,19,5,4
COF,2021-02-25,19,6,7
COF,2021-02-25,19,7,3
COF,2021-02-25,19,8,3
COF,2021-02-25,19,9,7
COF,2021-02-25,19,10,3
COF,2021-02-25,19,11,3
COF,2021-02-25,19,12,3
COF,2021-02-25,19,13,3
COF,2021-02-25,19,14,3
COF,2021-02-25,19,15,4
COF,2021-02-25,19,16,9
COF,2021-02-25,19,17,7
COF,2021-02-25,19,18,1
COF,2021-02-25,19,19,4
COF,2022-02-25,14,1,5
COF,2022-02-25,14,2,7
COF,2022-02-25,14,3,5
COF,2022-02-25,14,4,6
COF,2022-02-25,14,5,6
COF,2022-02-25,14,6,5
COF,2022-02-25,14,7,5
COF,2022-02-25,14,8,4
COF,2022-02-25,14,9,4
COF,2022-02-25,14,10,3
COF,2022-02-25,14,11,4
COF,2022-02-25,14,12,5
COF,2022-02-25,14,13,6
COF,2022-02-25,14,14,4
COF,2023-02-24,12,1,4
COF,2023-02-24,12,2,8
COF,2023-02-24,12,3,5
COF,2023-02-24,12,4,4
COF,2023-02-24,12,5,4
COF,2023-02-24,12,6,3
COF,2023-02-24,12,7,2
COF,2023-02-24,12,8,3
COF,2023-02-24,12,9,1
COF,2023-02-24,12,10,1
COF,2023-02-24,12,11,2
COF,2023-02-24,12,12,2
COF,2024-02-23,6,1,6
COF,2024-02-23,6,2,1
COF,2024-02-23,6,3,2
COF,2024-02-23,6,4,2
COF,2024-02-23,6,5,2
COF,2024-02-23,6,6,4
COO,2021-12-10,16,1,7
COO,2021-12-10,16,2,5
COO,2021-12-10,16,3,5
COO,2021-12-10,16,4,6
COO,2021-12-10,16,5,7
COO,2021-12-10,16,6,3
COO,2021-12-10,16,7,2
COO,2021-12-10,16,8,2
COO,2021-12-10,16,9,1
COO,2021-12-10,16,10,2
COO,2021-12-10,16,11,3
COO,2021-12-10,16,12,4
COO,2021-12-10,16,13,3
COO,2021-12-10,16,14,3
COO,2021-12-10,16,15,2
COO,2021-12-10,16,16,2
COO,2024-12-06,3,1,5
COO,2024-12-06,3,2,5
COO,2024-12-06,3,3,4
COR,2021-11-23,17,1,6
COR,2021-11-23,17,2,6
COR,2021-11-23,17,3,7
COR,2021-11-23,17,4,6
COR,2021-11-23,17,5,6
COR,2021-11-23,17,6,8
COR,2021-11-23,17,7,6
COR,2021-11-23,17,8,7
COR,2021-11-23,17,9,5
COR,2021-11-23,17,10,6
COR,2021-11-23,17,11,9
COR,2021-11-23,17,12,3
COR,2021-11-23,17,13,5
COR,2021-11-23,17,14,6
COR,2021-11-23,17,15,4
COR,2021-11-23,17,16,6
COR,2021-11-23,17,17,4
COR,2022-11-22,20,1,4
COR,2022-11-22,20,2,2
COR,2022-11-22,20,3,1
COR,2022-11-22,20,4,5
COR,2022-11-22,20,5,4
COR,2022-11-22,20,6,4
COR,2022-11-22,20,7,6
COR,2022-11-22,20,8,4
COR,2022-11-22,20,9,4
COR,2022-11-22,20,10,2
COR,2022-11-22,20,11,3
COR,2022-11-22,20,12,2
COR,2022-11-22,20,13,2
COR,2022-11-22,20,14,2
COR,2022-11-22,20,15,2
COR,2022-11-22,20,16,3
COR,2022-11-22,20,17,1
COR,2022-11-22,20,18,1
COR,2022-11-22,20,19,1
COR,2022-11-22,20,20,3
COR,2023-11-21,8,1,5
COR,2023-11-21,8,2,5
COR,2023-11-21,8,3,6
COR,2023-11-21,8,4,4
COR,2023-11-21,8,5,3
COR,2023-11-21,8,6,4
COR,2023-11-21,8,7,5
COR,2023-11-21,8,8,7
COR,2024-11-26,3,1,5
COR,2024-11-26,3,2,2
COR,2024-11-26,3,3,0
COST,2021-10-06,16,1,6
COST,2021-10-06,16,2,5
COST,2021-10-06,16,3,5
COST,2021-10-06,16,4,5
COST,2021-10-06,16,5,4
COST,2021-10-06,16,6,8
COST,2021-10-06,16,7,9
COST,2021-10-06,16,8,6
COST,2021-10-06,16,9,6
COST,2021-10-06,16,10,5
COST,2021-10-06,16,11,8
COST,2021-10-06,16,12,5
COST,2021-10-06,16,13,7
COST,2021-10-06,16,14,5
COST,2021-10-06,16,15,6
COST,2021-10-06,16,16,7
COST,2022-10-05,11,1,8
COST,2022-10-05,11,2,8
COST,2022-10-05,11,3,6
COST,2022-10-05,11,4,5
COST,2022-10-05,11,5,4
COST,2022-10-05,11,6,4
COST,2022-10-05,11,7,2
COST,2022-10-05,11,8,1
COST,2022-10-05,11,9,6
COST,2022-10-05,11,10,6
COST,2022-10-05,11,11,4
COST,2023-10-11,4,1,4
COST,2023-10-11,4,2,5
COST,2023-10-11,4,3,1
COST,2023-10-11,4,4,6
COST,2024-10-09,6,1,5
COST,2024-10-09,6,2,4
COST,2024-10-09,6,3,2
COST,2024-10-09,6,4,0
COST,2024-10-09,6,5,4
COST,2024-10-09,6,6,2
CPAY,2021-02-26,9,1,6
CPAY,2021-02-26,9,2,6
CPAY,2021-02-26,9,3,3
CPAY,2021-02-26,9,4,5
CPAY,2021-02-26,9,5,5
CPAY,2021-02-26,9,6,4
CPAY,2021-02-26,9,7,7
CPAY,2021-02-26,9,8,5
CPAY,2021-02-26,9,9,1
CPAY,2022-03-01,11,1,8
CPAY,2022-03-01,11,2,5
CPAY,2022-03-01,11,3,4
CPAY,2022-03-01,11,4,4
CPAY,2022-03-01,11,5,5
CPAY,2022-03-01,11,6,3
CPAY,2022-03-01,11,7,2
CPAY,2022-03-01,11,8,2
CPAY,2022-03-01,11,9,2
CPAY,2022-03-01,11,10,2
CPAY,2022-03-01,11,11,1
CPAY,2023-02-28,11,1,6
CPAY,2023-02-28,11,2,2
CPAY,2023-02-28,11,3,5
CPAY,2023-02-28,11,4,4
CPAY,2023-02-28,11,5,1
CPAY,2023-02-28,11,6,4
CPAY,2023-02-28,11,7,3
CPAY,2023-02-28,11,8,2
CPAY,2023-02-28,11,9,3
CPAY,2023-02-28,11,10,1
CPAY,2023-02-28,11,11,6
CPAY,2024-02-29,4,1,5
CPAY,2024-02-29,4,2,5
CPAY,2024-02-29,4,3,2
CPAY,2024-02-29,4,4,2
CPB,2021-09-23,14,1,6
CPB,2021-09-23,14,2,2
CPB,2021-09-23,14,3,6
CPB,2021-09-23,14,4,5
CPB,2021-09-23,14,5,2
CPB,2021-09-23,14,6,4
CPB,2021-09-23,14,7,7
CPB,2021-09-23,14,8,7
CPB,2021-09-23,14,9,4
CPB,2021-09-23,14,10,3
CPB,2021-09-23,14,11,4
CPB,2021-09-23,14,12,4
CPB,2021-09-23,14,13,4
CPB,2021-09-23,14,14,1
CPB,2022-09-22,8,1,7
CPB,2022-09-22,8,2,8
CPB,2022-09-22,8,3,4
CPB,2022-09-22,8,4,9
CPB,2022-09-22,8,5,3
CPB,2022-09-22,8,6,0
CPB,2022-09-22,8,7,7
CPB,2022-09-22,8,8,4
CPB,2023-09-21,6,1,4
CPB,2023-09-21,6,2,4
CPB,2023-09-21,6,3,5
CPB,2023-09-21,6,4,1
CPB,2023-09-21,6,5,4
CPB,2023-09-21,6,6,1
CPRT,2021-09-27,9,1,5
CPRT,2021-09-27,9,2,7
CPRT,2021-09-27,9,3,3
CPRT,2021-09-27,9,4,2
CPRT,2021-09-27,9,5,5
CPRT,2021-09-27,9,6,6
CPRT,2021-09-27,9,7,1
CPRT,2021-09-27,9,8,3
CPRT,2021-09-27,9,9,-2
CPRT,2022-09-27,6,1,1
CPRT,2022-09-27,6,2,5
CPRT,2022-09-27,6,3,4
CPRT,2022-09-27,6,4,6
CPRT,2022-09-27,6,5,5
CPRT,2022-09-27,6,6,3
CPRT,2023-09-28,3,1,4
CPRT,2023-09-28,3,2,2
CPRT,2023-09-28,3,3,1
CPRT,2024-09-30,2,1,4
CPRT,2024-09-30,2,2,3
CPT,2021-02-18,17,1,10
CPT,2021-02-18,17,2,8
CPT,2021-02-18,17,3,7
CPT,2021-02-18,17,4,8
CPT,2021-02-18,17,5,3
CPT,2021-02-18,17,6,6
CPT,2021-02-18,17,7,7
CPT,2021-02-18,17,8,3
CPT,2021-02-18,17,9,6
CPT,2021-02-18,17,10,4
CPT,2021-02-18,17,11,7
CPT,2021-02-18,17,12,6
CPT,2021-02-18,17,13,4
CPT,2021-02-18,17,14,6
CPT,2021-02-18,17,15,9
CPT,2021-02-18,17,16,7
CPT,2021-02-18,17,17,2
CPT,2022-02-17,16,1,5
CPT,2022-02-17,16,2,7
CPT,2022-02-17,16,3,4
CPT,2022-02-17,16,4,4
CPT,2022-02-17,16,5,3
CPT,2022-02-17,16,6,2
CPT,2022-02-17,16,7,4
CPT,2022-02-17,16,8,2
CPT,2022-02-17,16,9,2
CPT,2022-02-17,16,10,2
CPT,2022-02-17,16,11,4
CPT,2022-02-17,16,12,1
CPT,2022-02-17,16,13,2
CPT,2022-02-17,16,14,1
CPT,2022-02-17,16,15,9
CPT,2022-02-17,16,16,8
CPT,2023-02-23,6,1,1
CPT,2023-02-23,6,2,3
CPT,2023-02-23,6,3,6
CPT,2023-02-23,6,4,4
CPT,2023-02-23,6,5,3
CPT,2023-02-23,6,6,5
CPT,2024-02-22,1,1,4
CRL,2021-02-17,15,1,8
CRL,2021-02-17,15,2,5
CRL,2021-02-17,15,3,6
CRL,2021-02-17,15,4,4
CRL,2021-02-17,15,5,5
CRL,2021-02-17,15,6,4
CRL,2021-02-17,15,7,4
CRL,2021-02-17,15,8,5
CRL,2021-02-17,15,9,4
CRL,2021-02-17,15,10,6
CRL,2021-02-17,15,11,3
CRL,2021-02-17,15,12,1
CRL,2021-02-17,15,13,6
CRL,2021-02-17,15,14,3
CRL,2021-02-17,15,15,5
CRL,2022-02-16,12,1,4
CRL,2022-02-16,12,2,7
CRL,2022-02-16,12,3,8
CRL,2022-02-16,12,4,5
CRL,2022-02-16,12,5,4
CRL,2022-02-16,12,6,6
CRL,2022-02-16,12,7,7
CRL,2022-02-16,12,8,6
CRL,2022-02-16,12,9,4
CRL,2022-02-16,12,10,6
CRL,2022-02-16,12,11,1
CRL,2022-02-16,12,12,4
CRL,2023-02-22,15,1,6
CRL,2023-02-22,15,2,4
CRL,2023-02-22,15,3,3
CRL,2023-02-22,15,4,4
CRL,2023-02-22,15,5,3
CRL,2023-02-22,15,6,3
CRL,2023-02-22,15,7,3
CRL,2023-02-22,15,8,5
CRL,2023-02-22,15,9,4
CRL,2023-02-22,15,10,3
CRL,2023-02-22,15,11,5
CRL,2023-02-22,15,12,-2
CRL,2023-02-22,15,13,3
CRL,2023-02-22,15,14,3
CRL,2023-02-22,15,15,2
CRL,2024-02-14,5,1,5
CRL,2024-02-14,5,2,2
CRL,2024-02-14,5,3,8
CRL,2024-02-14,5,4,4
CRL,2024-02-14,5,5,5
CRM,2021-03-17,11,1,7
CRM,2021-03-17,11,2,3
CRM,2021-03-17,11,3,5
CRM,2021-03-17,11,4,4
CRM,2021-03-17,11,5,4
CRM,2021-03-17,11,6,4
CRM,2021-03-17,11,7,3
CRM,2021-03-17,11,8,6
CRM,2021-03-17,11,9,7
CRM,2021-03-17,11,10,3
CRM,2021-03-17,11,11,2
CRM,2022-03-11,8,1,4
CRM,2022-03-11,8,2,8
CRM,2022-03-11,8,3,6
CRM,2022-03-11,8,4,7
CRM,2022-03-11,8,5,9
CRM,2022-03-11,8,6,6
CRM,2022-03-11,8,7,4
CRM,2022-03-11,8,8,3
